Name,latitude,longitude,Type,Price,Reviews,city,Popularity
Housepitality ~ The Bryden Park Townhouse,39.96152,-82.95827,Entire Home,44,80,Columbus,Extremely Popular
Short North Home/Off Street Parking/ Washer Dryer,39.9864,-83.00303,Entire Home,65,44,Columbus,High
The Buckeye Life Getaway On High St,40.00808,-83.00921,Entire Home,264,0,Columbus,New Listing
Cozy Studio Near Ohio State and Short North!,39.99639,-83.0056,Entire Home,57,0,Columbus,New Listing
"The Sea Dreamer Get Away, Downtown Columbus",39.98694,-83.01111,Entire Home,200,150,Columbus,Extremely Popular
2BD/2BA Gahanna Apartment,40.05495,-82.84658,Entire Home,99,1,Columbus,Low
"Clean, 1 Bed Apartment Close to Airport and DT",39.95756,-82.92211,Entire Home,52,8,Columbus,Average
This is the Townhome You've Been Looking for!,39.94442,-82.97228,Entire Home,75,1,Columbus,Low
Nice Two Bedroom In Grandview Area + Amenties,39.98873,-83.03454,Entire Home,189,0,Columbus,New Listing
▷GINA ROOM◁ North OSU/Near Downtown CBUS,40.01277,-83.0005,Private Room,32,6,Columbus,Average
"Spacious Duplex Home, Minutes from Downtown",39.986,-83.04646,Entire Home,300,104,Columbus,Extremely Popular
Eastwood Heights Lounge,39.96864,-82.96408,Private Room,25,84,Columbus,Extremely Popular
Sanitized Stay |  Full of High-End Amenities,39.99359,-82.99834,Entire Home,175,71,Columbus,Extremely Popular
Homey place just for you | 1BR in Columbus,40.12051,-83.0139,Entire Home,52,0,Columbus,New Listing
Large Townhouse in UPSCALE New Albany! FURNISHED!!,40.09404,-82.83216,Entire Home,299,1,Columbus,Low
Beautifully Updated Short North Private Townhome,39.98563,-83.00436,Entire Home,200,173,Columbus,Extremely Popular
"Queen Bed/OSU, Short North 2nd over the sky",40.01136,-83.00342,Private Room,36,8,Columbus,Average
The OSU horseshoe retreat.,40.00785,-83.01554,Entire Home,175,0,Columbus,New Listing
Cozy Private Bedroom & Bathroom Suite near Easton,40.09932,-82.84275,Private Room,49,19,Columbus,High
IRON HORSE CLUB | PRIVATE BEDROOM,40.00901,-82.99543,Private Room,40,28,Columbus,High
Extraordinary Two-Bedroom at 80 on the Commons,39.95742,-82.99863,Entire Home,999,17,Columbus,High
Empty Nester’s Haven,39.90475,-82.80563,Entire Home,75,13,Columbus,Average
L24 The Lilac at LuxBox Lofts ★ 2 Bed Private Room,39.94411,-82.96751,Private Room,99,116,Columbus,Extremely Popular
"Cozy 2BR, 1.5Bath Home in Columbus",39.9375,-83.16085,Entire Home,60,43,Columbus,High
L64 The Pinball at LuxBox Lofts - Private Room,39.94791,-82.9501,Private Room,99,1,Columbus,Low
▷GWEN ROOM◁ North OSU/Near Downtown CBUS,40.01272,-83.00082,Private Room,36,1,Columbus,Low
Massive 4BR Home- Heart of the Short North,39.98176,-82.99881,Entire Home,209,35,Columbus,High
German Village Pied à Terre,39.94313,-82.98873,Entire Home,150,7,Columbus,Average
Short North Carriage House Salt Water Pool Hot Tub,39.98243,-83.00723,Entire Home,119,34,Columbus,High
"Safe, Roomy, Dog Friendly Studio w/ salt spa visit",40.03563,-83.017,Entire Home,96,91,Columbus,Extremely Popular
★ Bright & Relaxing - Cleaned & Sanitized ❤️,40.013,-83.00071,Private Room,35,32,Columbus,High
Rose Marie,39.95656,-83.02157,Entire Home,122,23,Columbus,High
Hip Italian Village Townhome w/Parking,39.98271,-83.00086,Entire Home,119,29,Columbus,High
2 Bedroom Suite Retreat,39.99608,-83.07811,Private Room,165,0,Columbus,New Listing
Urban Brownstone where OSU meets the Short North,39.99042,-83.00547,Entire Home,80,59,Columbus,Extremely Popular
The Spacious Hilliard House,39.98388,-83.11002,Entire Home,120,0,Columbus,New Listing
2 Private Rooms (full bed listing),40.10028,-82.96453,Private Room,45,4,Columbus,Low
The Magnolia/Olde Towne East/3BDRM Home,39.96118,-82.95856,Entire Home,85,1,Columbus,Low
Columbus Apartment,39.99152,-83.07453,Private Room,38,4,Columbus,Low
Charming & Cozy Village House,39.93345,-82.98702,Entire Home,97,9,Columbus,Average
Townhouse w/ private roof & parking,39.98481,-83.00869,Private Room,150,60,Columbus,Extremely Popular
3 bedroom/2 bath Ranch style home. Quiet & COZY,39.88756,-82.92803,Entire Home,94,38,Columbus,High
Spacious 1 Bedroom Apartment Near OSU and Downtown,39.9967,-82.99836,Entire Home,90,52,Columbus,High
Beautiful spacious suite with gym.,39.98222,-82.99614,Private Room,68,75,Columbus,Extremely Popular
Center of Everything | 1br w/ Balcony + Parking,39.95702,-82.99929,Entire Home,95,104,Columbus,Extremely Popular
★Memory Foam★OSU/Riverside★Walk/Bus★Updated★,40.02146,-83.03448,Private Room,32,109,Columbus,Extremely Popular
Stunning Downtown Condo with Rooftop Patio #519,39.98661,-83.0025,Entire Home,350,65,Columbus,Extremely Popular
Easy Parking ♥ Heart of Ohio State Walk to High St,39.99704,-83.00555,Entire Home,36,19,Columbus,High
Apartment in Historic Olde Towne East - Bryden Rd,39.9608,-82.97397,Entire Home,49,6,Columbus,Average
Mike and Allen's Place on the Park.,39.96377,-82.9557,Private Room,115,12,Columbus,Average
"Downtown!! Views, Deck, Fully FURNISHED! Parking!",39.95722,-83.00054,Entire Home,165,1,Columbus,Low
Clean & Quiet 4BR Home with King Suite & Hot Tub!,40.04382,-83.04627,Entire Home,550,1,Columbus,Low
EDGEWOOD ROOM ★ 2 Beds ★ Comfortable Private Room,40.01324,-83.00078,Private Room,35,25,Columbus,High
Carriage House on Wall Street,39.94123,-82.99742,Entire Home,150,87,Columbus,Extremely Popular
Townhouse in City with Great Walkable Options,39.94958,-82.98252,Entire Home,95,3,Columbus,Low
Comfortable nice Bedroom,39.92098,-82.82189,Private Room,50,12,Columbus,Average
SPACIOUS 3BR KING BED❤️8 minutes from downtown!,39.94966,-82.95934,Entire Home,90,42,Columbus,High
"Sanitized, Clean, Safe 4bd/4ba whole house",39.94984,-82.97417,Entire Home,375,28,Columbus,High
Classic Second-Floor Olde Town East-Full Apartment,39.96661,-82.96441,Entire Home,65,127,Columbus,Extremely Popular
Close to OSU - Clintonville Homestay,40.02602,-83.02016,Private Room,23,2,Columbus,Low
Short North Townhome,39.977,-82.99837,Entire Home,78,20,Columbus,High
Modern & Large ❤️ 10 Bed / 4 Bath | Host 26 Guests,40.01323,-83.00072,Entire Home,995,0,Columbus,New Listing
Short North Zen Room - Best Location,39.99054,-83.0001,Private Room,55,1,Columbus,Low
Super comfortable twin airbed in living room,39.98541,-83.00972,Shared Room,37,4,Columbus,Low
LUXURY BRAND NEW 3BR/3BA TOWNHOME W/ROOFTOP PATIO!,39.98018,-83.01556,Entire Home,1000,85,Columbus,Extremely Popular
Minutes From the Airport+King Size Bed,40.0209,-82.90474,Entire Home,77,0,Columbus,New Listing
Delightful Two-Bedroom at 80 on the Commons,39.95909,-82.99846,Entire Home,999,6,Columbus,Average
SAFARI SUITE,40.00606,-82.97296,Entire Home,70,103,Columbus,Extremely Popular
"Simple, Comfy, Room in the Short North",39.9917,-83.00299,Private Room,34,3,Columbus,Low
"Private clean, quite room and bath in a safe area.",40.11742,-82.97686,Private Room,60,40,Columbus,High
CozySpace-NearDowntown- Charming Neighborhood!,39.95091,-83.079,Entire Home,165,27,Columbus,High
Charming Two Bedroom + patio,39.98843,-83.03429,Entire Home,137,1,Columbus,Low
Housepitality ~ The Secrete Garden Condo -Downtown,39.96497,-82.99588,Entire Home,134,0,Columbus,New Listing
Captivating Two-Bedroom at 80 on the Commons,39.95903,-82.99852,Entire Home,999,3,Columbus,Low
recently renovated 2 story.close to everything-B,40.01754,-83.01547,Entire Home,100,45,Columbus,High
Comfortable private basement in Northern Columbus,40.09348,-82.95983,Private Room,45,1,Columbus,Low
German Village on Mohawk St,39.94864,-82.99425,Entire Home,150,2,Columbus,Low
"Spacious, Lovely 2 bedrooms A Block From Campus",39.99501,-83.00652,Entire Home,106,1,Columbus,Low
100 Mbps Wifi | Walkable | Clean | Stocked Kitchen,39.98567,-83.0345,Entire Home,75,47,Columbus,High
▶LEAH Room◀ North OSU/Greater Columbus/Downtown,40.01092,-83.0027,Private Room,32,3,Columbus,Low
Three Bedrooms With A Stunning Loft,39.99646,-83.00499,Entire Home,149,2,Columbus,Low
NEW LUXURY 1BR APARTMENT NEAR HEART OF COLUMBUS,39.95716,-82.99437,Entire Home,93,10,Columbus,Average
Apt SHORT NORTH on Goodale Park,39.97847,-83.00887,Entire Home,120,127,Columbus,Extremely Popular
"Urban I 3 BR 1 BA+Parking, Monthly Rates Avail!",39.98829,-83.0022,Entire Home,135,196,Columbus,Extremely Popular
Close to OSU and Riverside Hospital (30day min),40.02356,-83.03218,Private Room,38,47,Columbus,High
"Artsy Suite, Convention Ctr, ShortNorth, w parking",39.97492,-83.00961,Private Room,90,49,Columbus,High
Eclectic Short North Escape w/FREE Parking,39.98617,-83.00371,Entire Home,225,124,Columbus,Extremely Popular
Short North 1 Bed Apartment - WALK EVERYWHERE!,39.97653,-83.00506,Entire Home,41,107,Columbus,Extremely Popular
PPD,39.90966,-83.06591,Private Room,50,0,Columbus,New Listing
Attached Garage + All Furnishings + Driveway!!!,40.05662,-82.86046,Hotel Room,295,0,Columbus,New Listing
♡ Ohio State Pad ♡ Walk to High St & Campus!,39.99897,-83.00457,Entire Home,62,13,Columbus,Average
Cozy Short North Brick Condo - 1 block off High St,39.98042,-83.00834,Entire Home,125,32,Columbus,High
Home away from Home,39.9931,-82.95129,Entire Home,80,0,Columbus,New Listing
Sophia's Sunny Place,40.01978,-83.04618,Entire Home,145,51,Columbus,High
Luxurious Mid-Century Home in German Village,39.94178,-82.98509,Entire Home,350,37,Columbus,High
A place To Gather,39.99131,-83.00863,Entire Home,149,0,Columbus,New Listing
Charming 4 Bedroom Minutes From High Street,39.99231,-83.00844,Entire Home,171,0,Columbus,New Listing
Newly Renovated 1 Bedroom Near the Airport,39.9852,-82.91668,Entire Home,62,196,Columbus,Extremely Popular
Modern 1st-Floor 2BR in Walkable Polaris Area!,40.14079,-82.95755,Entire Home,179,0,Columbus,New Listing
"The Historic Central Condo - Arena, Short North, Convention",39.97397,-83.00966,Entire Home,200,171,Columbus,Extremely Popular
Black Panther Lair,40.0068,-82.97534,Private Room,53,1,Columbus,Low
★ The Julius at Caesar’s Palace ★ Old North ★,40.01397,-82.99756,Private Room,60,2,Columbus,Low
Long Term Three Bedroom Perfect for Travel Nurses,39.96077,-83.07092,Entire Home,70,1,Columbus,Low
Downtown Perfection | 2br w/ Balcony Near Dining,39.95791,-82.99995,Entire Home,119,90,Columbus,Extremely Popular
“3 Private Queen Bedrooms” Columbus Home,39.94912,-82.95963,Entire Home,150,63,Columbus,Extremely Popular
The Centurion Newbie,39.94594,-82.95971,Entire Home,115,19,Columbus,High
Maple Oasis,40.09594,-82.96022,Entire Home,125,14,Columbus,Average
(838 OAK St) Modern Old Town East Apartment,39.9636,-82.97897,Entire Home,175,39,Columbus,High
"SPACIOUS , QUIET & COMFORTABLE 3BR TOWNHOUSE",40.11646,-83.08856,Entire Home,55,162,Columbus,Extremely Popular
Housepitality ~ The Sail Away Townhouse (Flexible),39.95724,-82.97007,Entire Home,45,14,Columbus,Average
❤️Fabulous 2 BR Apartment❤️near Ohio State Campus!,40.05503,-83.04445,Entire Home,65,25,Columbus,High
Home on Homecroft,40.01681,-82.99212,Entire Home,50,18,Columbus,High
Housepitality ~ The 614 House (5mins To Downtown!),39.98292,-82.98865,Entire Home,48,24,Columbus,High
Columbus Gateway! Minutes away from attractions.,39.99978,-82.98402,Entire Home,65,10,Columbus,Average
Private chill room in a cozi 2-bedroom apartment,40.00597,-83.00793,Private Room,44,68,Columbus,Extremely Popular
Home Away from Home In Quiet Neighborhood,40.06449,-83.01244,Entire Home,150,17,Columbus,High
Downtown Columbus Penthouse with a WOW! Factor,39.95716,-82.99645,Entire Home,299,90,Columbus,Extremely Popular
recently renovated 2 story close to everything-A,40.01766,-83.0135,Entire Home,55,42,Columbus,High
★OSU★Mapfre★Laundry★Bus/walk★Renovated★★ Laundry★,40.00843,-82.99905,Private Room,33,207,Columbus,Extremely Popular
Cozy Ohio State 1bd - OVERLOOK High St!,39.99548,-83.00613,Entire Home,39,15,Columbus,Average
"Updated Merion Village Home, with garage parking",39.9333,-82.98961,Entire Home,100,2,Columbus,Low
Newly Renovated Loft + Minutes to Downtown,39.96648,-82.9749,Entire Home,99,4,Columbus,Low
Modern Retreat + Great Amenties,39.98846,-83.03219,Entire Home,77,0,Columbus,New Listing
"2 BR Apt -> King Bed, Walk Wex Med Ctr, Short Nrth",39.99088,-83.00961,Entire Home,113,21,Columbus,High
Renovated Victorian Short North Home 2BR/1.5Bath,39.98304,-83.01089,Entire Home,121,27,Columbus,High
"Rustic Townhouse by Mapfre, Osu, Short North & Downtown",40.02051,-82.99811,Entire Home,195,150,Columbus,Extremely Popular
"2500sqft, 2bdrm, Central to Downtown and Nightlife",39.96256,-82.97203,Entire Home,139,4,Columbus,Low
Carriage House in Olde Towne East/Near Downtown,39.96748,-82.97208,Entire Home,60,18,Columbus,High
Housepitality ~ The Traveler's Townhouse,39.95786,-82.968,Entire Home,42,36,Columbus,High
Historic Top Floor Condo ❤ of Short North 30+ days,39.97512,-83.00319,Entire Home,88,0,Columbus,New Listing
Sanitized Clean Duplex Near Everything!,40.01226,-82.99774,Entire Home,50,0,Columbus,New Listing
Paper White Penthouse—DOWNTOWN/CONVENTION CENTER,39.96428,-82.99802,Entire Home,175,3,Columbus,Low
Mission Style Old Town East Charmer near downtown!,39.96211,-82.97677,Entire Home,120,71,Columbus,Extremely Popular
Entire Home-Walk to Convention Center!,39.98238,-82.99922,Entire Home,90,53,Columbus,High
"2Twin Beds/OSU, Mapfre, Downtown 2nd little Yellow",40.01216,-83.00319,Private Room,34,1,Columbus,Low
Brand New Large 2BR/1B Olde Towne East Townhouse,39.96081,-82.97087,Entire Home,10000,3,Columbus,Low
The Gatsby Flat—Downtown Columbus/Convention Ctr,39.96414,-82.99804,Entire Home,119,24,Columbus,High
3rd Floor Suite in Historic Home on Goodale Park,39.97792,-83.00915,Entire Home,125,88,Columbus,Extremely Popular
Sparkling clean close to downtown,39.97126,-82.97691,Entire Home,85,48,Columbus,High
Renovated 2story(7C) OSU/ExpoCenter❤NearEVERYTHING,39.99488,-82.99613,Entire Home,200,36,Columbus,High
Historic Old Oaks Home - Downtown!,39.95192,-82.96644,Entire Home,112,18,Columbus,High
Converted Historic Railroad House,39.93405,-82.99041,Entire Home,79,128,Columbus,Extremely Popular
JourneyBNB - Sleek Townhouse Near German Village,39.93816,-82.9735,Entire Home,79,16,Columbus,Average
Beautiful Historic Home in German Village Area,39.94468,-82.98724,Entire Home,120,6,Columbus,Average
2 Bedroom Suite Retreat,39.99781,-83.07808,Private Room,165,8,Columbus,Average
Updated & Convenient downtown condo,39.93309,-82.9955,Entire Home,129,3,Columbus,Low
Short North-walk to nightlife & Convention Center,39.97958,-83.00141,Entire Home,110,148,Columbus,Extremely Popular
Quaint One-Bedroom at 80 on the Commons,39.95708,-82.99752,Entire Home,999,2,Columbus,Low
"The Pine House -Huge 3BD Home, Central Ohio & OSU",40.02095,-83.0061,Entire Home,145,70,Columbus,Extremely Popular
Cozy Brewery District Apartment,39.94644,-82.99714,Entire Home,120,28,Columbus,High
Brand New Olde Towne East 3BR 5 Mins to Downtown!,39.96683,-82.96426,Entire Home,10000,7,Columbus,Average
Ruby in the Village | The gem of downtown CBUS ,39.98319,-82.99887,Entire Home,110,44,Columbus,High
JourneyBNB - Modern Townhouse 5 Min to Downtown,39.93897,-82.9745,Entire Home,88,31,Columbus,High
"Beautiful, spacious home, walking distance to OSU",40.0134,-83.01016,Entire Home,200,17,Columbus,High
Iuka Park 2bed,40.00468,-83.00276,Entire Home,45,0,Columbus,New Listing
Homey place just for you | 1BR in Columbus,40.12051,-83.0139,Entire Home,53,0,Columbus,New Listing
SOHUD Treetop Townhouse (C),40.01364,-83.00208,Entire Home,44,104,Columbus,Extremely Popular
A quiet Private Room to rest your head.,40.01635,-83.00459,Private Room,30,55,Columbus,High
▶NEW HOME 2◀ North OSU/Greater Columbus/Downtown,40.01206,-83.0023,Entire Home,375,0,Columbus,New Listing
Technology Meets Design in this Stunning SmartHome,40.05434,-83.04758,Entire Home,129,60,Columbus,Extremely Popular
A Lovely Room in Devonshire,40.1028,-82.98059,Private Room,33,30,Columbus,High
SAFETY HIDEAWAY LUXURY 1BR APARTMENT l ENTERTAINMENT + FREE PARK,39.95923,-82.99987,Entire Home,65,44,Columbus,High
The Short North Retreat II - Free Private Parking,39.98071,-83.00326,Entire Home,95,34,Columbus,High
"Lots of light! Walk to OSU, Short North (A)",39.9891,-83.00861,Entire Home,119,68,Columbus,Extremely Popular
2 Private Rooms (queen bed listing),40.09852,-82.96423,Private Room,50,13,Columbus,Average
"CELINA ROOM ★Spacious, Bright & Private Room ❤️",40.01191,-83.00192,Private Room,35,56,Columbus,Extremely Popular
Craft's Corner,40.02879,-82.93182,Private Room,50,2,Columbus,Low
"Downtown, Charlie Brown? Furnished, FREE Parking!!",39.94823,-83.00209,Hotel Room,185,0,Columbus,New Listing
Updated suite in safe and quiet neighborhood,40.07035,-83.06031,Entire Home,55,175,Columbus,Extremely Popular
love story cabine,39.94324,-82.93226,Entire Home,100,39,Columbus,High
"SoMa Townhouse, 3 bedrooms, near downtown",39.95573,-82.95375,Entire Home,45,12,Columbus,Average
German Village - Beakerloo Apt A,39.94378,-82.99132,Entire Home,99,129,Columbus,Extremely Popular
Modernistic Two Bedroom Near OSU Campus,40.00885,-83.0104,Entire Home,153,0,Columbus,New Listing
Skip Hotel! Renovated Private Room near Downtown!,39.93387,-82.9848,Private Room,50,1,Columbus,Low
Fireplace Room/OSU/Short North/Free Pkg.,39.98934,-83.01307,Private Room,65,18,Columbus,High
Quiet Private Room; Short North/OSU; Free Parking,39.98933,-83.01297,Private Room,50,27,Columbus,High
Spacious Bedroom with Queen Bed & Private Bathroom,39.97971,-83.00334,Private Room,75,2,Columbus,Low
Long Term Studio Stay - German Village / Downtown!,39.94808,-82.98771,Entire Home,500,64,Columbus,Extremely Popular
Completely Updated 6BR Near Short North/Downtown!,39.99583,-82.99657,Entire Home,10000,27,Columbus,High
Short North Studio in Heart of City - Off High St!,39.97814,-83.0045,Entire Home,50,94,Columbus,Extremely Popular
Bedroom with a view,39.99634,-83.07628,Private Room,70,1,Columbus,Low
L11 The Plum at LuxBox Lofts ★ 2 Bed Private Room,39.94481,-82.96857,Private Room,59,172,Columbus,Extremely Popular
★Queen Bed★Riverside OSU★Laundry★COTA/CABS,40.02146,-83.03448,Private Room,32,130,Columbus,Extremely Popular
Large Bedroom Near Downtown Nationwide OSU,39.9495,-82.9671,Private Room,45,16,Columbus,Average
Anderson Estate Near Downtown Franklin Park,39.96028,-82.96475,Entire Home,145,9,Columbus,Average
Cozy 2 Bedroom Home,39.95692,-83.02761,Entire Home,65,15,Columbus,Average
Short North Modern Home with Balcony & Jacuzzi,39.98694,-83.01111,Entire Home,350,137,Columbus,Extremely Popular
German Village/Schumacher Place attic space,39.94698,-82.98593,Private Room,70,15,Columbus,Average
Shellee's Place,39.96748,-82.97161,Entire Home,99,25,Columbus,High
Private Guest Suite W/ Half Bathroom Near OSU!,40.0156,-82.9799,Private Room,50,0,Columbus,New Listing
1BR Apt. on Clintonville Ravine,40.01904,-83.00172,Entire Home,85,85,Columbus,Extremely Popular
"Walk to Campus Studio ✰ High St, Free Parking",39.99627,-83.00351,Entire Home,35,0,Columbus,New Listing
The Varsity Getaway,40.00651,-83.01584,Entire Home,175,0,Columbus,New Listing
★ Dreamy Historic Loft - Walk To Schiller Park! ★,39.94175,-82.99637,Entire Home,119,36,Columbus,High
The Stonehenge Lodge.,39.99246,-83.0084,Entire Home,163,0,Columbus,New Listing
Private 3BR House in the King Lincoln District!!,39.96859,-82.97271,Entire Home,125,11,Columbus,Average
Short North one bedroom loft,39.97573,-83.00136,Entire Home,100,36,Columbus,High
Comfortable rooms in Clintonville 1,40.03828,-83.01838,Private Room,75,165,Columbus,Extremely Popular
Norwood Inn Columbus-1 King Bed NS,40.08582,-82.9842,Private Room,69,0,Columbus,New Listing
Massive 4BR/2 Bath Short North Townhome *10 Beds*,39.99215,-82.99868,Entire Home,1000,28,Columbus,High
Charming Studio ♥ Walk To Ohio State and High St!,39.99775,-83.00349,Entire Home,36,37,Columbus,High
Charming Clintonville Cottage,40.0233,-83.01072,Entire Home,100,42,Columbus,High
German Village/Schumacher Place Old Historic Stay,39.94799,-82.98625,Entire Home,65,214,Columbus,Extremely Popular
Stylish Luxury Condo Near OSU Campus,39.99071,-83.01107,Entire Home,146,1,Columbus,Low
Newly Renovated (9A) OSU/ExpoCenter❤NearEVERYTHING,39.9957,-82.99685,Entire Home,140,25,Columbus,High
The Pawfect Place - King 1BR w/Garage Parking!,39.95558,-83.01243,Entire Home,145,7,Columbus,Average
Beauty by the airport,39.9868,-82.92993,Entire Home,54,12,Columbus,Average
"Comfy Studio Walk to OSU w Free Parking, TV & Desk",39.99633,-83.00484,Entire Home,36,57,Columbus,Extremely Popular
"◙DIANA Room◙ North OSU, Near DOWNTOWN COLUMBUS",40.01283,-83.00123,Private Room,32,1,Columbus,Low
Cozy room in our central Olde Town East home!,39.9639,-82.96338,Private Room,40,94,Columbus,Extremely Popular
5  Comfort & Convenience! Minutes to Downtown/OSU,39.98631,-83.0416,Entire Home,49,32,Columbus,High
Noah’s Ark Apartment  A Place U Will Call Home,40.08859,-82.83738,Entire Home,115,24,Columbus,High
Weinland Park / Short North Duplex,39.98961,-82.99663,Entire Home,99,313,Columbus,Extremely Popular
Gorgeous Victorian Spacious Home in German Village,39.94514,-82.98821,Entire Home,350,29,Columbus,High
Huge Updated 4BR Townhouse Minutes From Downtown,39.96335,-82.98523,Entire Home,193,140,Columbus,Extremely Popular
Perfect Short North/Convention center location,39.97194,-83.00886,Entire Home,100,0,Columbus,New Listing
▷GRACE ROOM◁ North OSU/Near Downtown CBUS,40.01206,-82.99994,Private Room,36,0,Columbus,New Listing
New Condo ❤ of Short North & Free Parking 30+ Days,39.97473,-83.00261,Entire Home,88,0,Columbus,New Listing
Relaxation Near Easton (Sky),40.09093,-82.88549,Private Room,50,39,Columbus,High
Downtown! Beautiful Historic Old Oaks Home!,39.95353,-82.96725,Entire Home,235,64,Columbus,Extremely Popular
Big 3 Story House Downtown Columbus,39.98382,-83.01635,Entire Home,300,126,Columbus,Extremely Popular
Cozy German Village Apartment,39.95022,-82.98529,Entire Home,108,0,Columbus,New Listing
Cozy Single Room Near Downtown Nationwide & OSU,39.94931,-82.96668,Private Room,29,31,Columbus,High
Lovely “Green”(ing) Clintonville Cottage Near All!,40.04923,-83.02529,Entire Home,150,85,Columbus,Extremely Popular
Nice home near downtown Columbus,39.94627,-82.98623,Entire Home,135,11,Columbus,Average
"Big Green, Short North 4BD 3BA Home - RoweRentals",39.98643,-83.01043,Entire Home,350,56,Columbus,Extremely Popular
Wonders of the World,39.93938,-82.97476,Entire Home,81,0,Columbus,New Listing
NEW!Private Haus -Heart of German Villg/#WFH ready,39.94885,-82.99361,Entire Home,99,0,Columbus,New Listing
Aesthetic Condo minutes from Downtown 313,39.96149,-83.01405,Entire Home,199,26,Columbus,High
Brand New 4BR/2.5BA Just Steps to Short North!,39.98519,-83.0089,Entire Home,200,14,Columbus,Average
"The Historic Central Condo - Arena, Short North, Convention",39.97397,-83.00966,Entire Home,350,126,Columbus,Extremely Popular
Rustic/Modern Downtown Oasis,39.96974,-82.97468,Entire Home,175,0,Columbus,New Listing
Gorgeous 4brm/3bath home in Old North,40.01454,-83.00771,Entire Home,175,14,Columbus,Average
Clintonville Home,40.02819,-83.02247,Entire Home,76,447,Columbus,Extremely Popular
A Secluded and Tranquil City retreat,39.99635,-83.07845,Private Room,95,27,Columbus,High
Judge's Mansion: Blue Suite,39.9649,-82.96722,Entire Home,93,16,Columbus,Average
The Gallery (Short North/OSU/Downtown),39.98846,-83.0073,Entire Home,64,250,Columbus,Extremely Popular
"1BR 1-person Clintonville Apt, (5-day min rental)",40.01888,-83.00052,Entire Home,60,23,Columbus,High
JourneyBNB - Crisp Townhouse with Fireplace,39.94562,-82.9765,Entire Home,110,19,Columbus,High
"Newly renovated, spacious home in Central Columbus",40.07296,-83.0678,Entire Home,189,43,Columbus,High
Enjoy Radiant Home and German Village,39.94644,-82.98894,Entire Home,199,39,Columbus,High
German Village Point,39.95069,-82.98802,Entire Home,100,68,Columbus,Extremely Popular
Guest Room in Historic German Village House,39.94375,-82.98882,Private Room,65,7,Columbus,Average
broadway st,40.03008,-82.96098,Entire Home,100,5,Columbus,Average
Comfortable rooms in Clintonville 2,40.03689,-83.0183,Private Room,75,131,Columbus,Extremely Popular
Enjoy my master guest bedroom,40.10783,-83.07133,Private Room,40,2,Columbus,Low
Full condo in the Short North!,39.97524,-83.00408,Entire Home,89,151,Columbus,Extremely Popular
L34 The Fig at LuxBox Lofts ★ Private Room,39.94471,-82.97607,Private Room,79,24,Columbus,High
Short North/Central Italian Village Home,39.97944,-83.00123,Entire Home,450,60,Columbus,Extremely Popular
L33 The Kiwi at LuxBox Lofts ★ Private Room,39.946,-82.97593,Private Room,79,32,Columbus,High
▲EVE ROOM▲ North OSU/Downtown/Clintonville,40.01288,-83.00322,Private Room,32,10,Columbus,Average
OSU ATTIC NICHE,40.01853,-83.00091,Entire Home,25,8,Columbus,Average
Cosy Home in the Heart of Short North,39.98714,-83.01119,Entire Home,350,83,Columbus,Extremely Popular
"Spacious, comfy 2bd/1.5ba, secure Kossuth St condo",39.94641,-82.98449,Entire Home,150,1,Columbus,Low
▶LUCY Room◀ North OSU/Greater Columbus/Downtown,40.01072,-83.00247,Private Room,32,3,Columbus,Low
L51 The Toucan at LuxBox ★ Private Keypad Room,39.95999,-82.90807,Private Room,59,18,Columbus,High
"Iuka Ravine 2bed - Walk to OSU, Free Parking",40.00418,-83.00278,Entire Home,45,0,Columbus,New Listing
Your OWN private Victorian Village room.,39.97897,-83.0116,Private Room,52,212,Columbus,Extremely Popular
Tulsa #6 Nicely Priced Bedroom,40.06467,-82.98839,Private Room,25,12,Columbus,Average
Modern Midtown Ranch,39.98304,-83.09051,Entire Home,90,14,Columbus,Average
Comfortable Room Near Downtown Nationwide & OSU,39.94939,-82.96628,Private Room,40,20,Columbus,High
Grab a Slice of History at a Characterful Industrial Studio,39.98497,-83.00011,Entire Home,95,82,Columbus,Extremely Popular
Standard space near OSU,40.00242,-82.9807,Private Room,220,1,Columbus,Low
The Flamingo/Great for Families,39.95404,-83.02205,Entire Home,175,7,Columbus,Average
The Downtown Spacious Home,39.95912,-82.96505,Entire Home,350,116,Columbus,Extremely Popular
Cozy oaks,39.94603,-82.97414,Entire Home,61,7,Columbus,Average
Short North Close to OSU!,39.98992,-83.00427,Entire Home,87,137,Columbus,Extremely Popular
Housepitality ~ The Orange-Door (Flexible),39.95269,-83.02227,Entire Home,42,11,Columbus,Average
Worthington 2 bedroom Townhome!,40.11006,-83.05655,Entire Home,180,26,Columbus,High
Small Cottage in German Village Area,39.94391,-82.98815,Entire Home,100,11,Columbus,Average
